<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<SPREAD>
2015.01.02,09:00:00,1186.94,1187.15,1186.03,1186.4,572,35
2015.01.02,09:10:00,1186.4,1186.4,1184.67,1184.95,473,33
2015.01.02,09:20:00,1184.97,1185.76,1184.79,1185.32,444,33
2015.01.02,09:30:00,1185.32,1186.52,1185.02,1186.48,722,34
2015.01.02,09:40:00,1186.5,1186.52,1185.61,1185.66,449,33
2015.01.02,09:50:00,1185.6,1186.12,1185.15,1185.85,566,33
2015.01.02,10:00:00,1185.85,1187.41,1185.85,1186.97,833,33
2015.01.02,10:10:00,1186.97,1188,1186.87,1187.1,830,35
2015.01.02,10:20:00,1187.07,1187.57,1186.55,1186.68,678,33
2015.01.02,10:30:00,1186.66,1187.22,1186.55,1187.11,454,33
2015.01.02,10:40:00,1187.11,1187.51,1186.38,1186.58,493,33
2015.01.02,10:50:00,1186.58,1186.61,1186.16,1186.6,424,33
2015.01.02,11:00:00,1186.6,1186.99,1184.92,1185.04,884,34
2015.01.02,11:10:00,1185.06,1185.87,1184.91,1185.42,703,33
2015.01.02,11:20:00,1185.43,1185.64,1185.02,1185.37,536,33
2015.01.02,11:30:00,1185.37,1185.52,1184.75,1185.2,533,33
2015.01.02,11:40:00,1185.18,1186.08,1184.99,1185.97,450,33
2015.01.02,11:50:00,1185.95,1186.33,1185.69,1186.23,408,33
2015.01.02,12:00:00,1186.25,1186.78,1186.11,1186.56,380,33
2015.01.02,12:10:00,1186.56,1186.56,1185.32,1185.37,582,32
2026.01.30,17:10:00,5000.45,5060.18,4997.29,5049.17,6173,4
2026.01.30,17:20:00,5049.17,5057.83,5030.93,5045.41,6139,4
2026.01.30,17:30:00,5045.56,5069.29,5040.09,5057.43,6259,4
2026.01.30,17:40:00,5057.43,5073.28,5049.91,5062.4,6757,4
2026.01.30,17:50:00,5062.4,5073.84,5038.6,5050.61,10290,4
2026.01.30,18:00:00,5050.61,5051.72,5022.36,5032.93,9119,4
2026.01.30,18:10:00,5032.93,5036.12,5005.18,5011.35,9174,4
2026.01.30,18:20:00,5011.19,5018.81,4987.5,4995.59,7601,4
2026.01.30,18:30:00,4995.59,5017.02,4959.51,4973.21,8688,4
2026.01.30,18:40:00,4973.2,5016.03,4971.41,4981.73,6642,4
2026.01.30,18:50:00,4981.73,4987.45,4942.43,4985.47,6702,4
2026.01.30,19:00:00,4985.09,4985.98,4927.44,4930.64,7318,4
2026.01.30,19:10:00,4931.1,4948,4899.34,4904.36,8656,4
2026.01.30,19:20:00,4904.33,4940.68,4899.41,4925.38,9182,4
2026.01.30,19:30:00,4925.38,4925.58,4887.44,4889.32,7622,4
2026.01.30,19:40:00,4889.32,4900.05,4838.4,4857.03,7102,4
2026.01.30,19:50:00,4857.03,4862.61,4800.88,4850,6734,4
2026.01.30,20:00:00,4850,4890.11,4807.52,4812.19,6293,4
2026.01.30,20:10:00,4812.18,4828.06,4749.76,4756.59,6290,4
2026.01.30,20:20:00,4756.59,4773.06,4693.06,4743.2,6467,4
2026.01.30,20:30:00,4743.2,4773.47,4682.18,4696.23,6248,4
2026.01.30,20:40:00,4695.66,4833.61,4693.98,4829.06,5860,4
2026.01.30,20:50:00,4829.06,4893.9,4818.53,4880.01,5957,4
2026.01.30,21:00:00,4880.01,4913.15,4874.78,4909.59,6206,4
2026.01.30,21:10:00,4909.59,4918.36,4870.35,4878.06,5413,4
2026.01.30,21:20:00,4878.04,4900.71,4842.18,4893.23,5553,4
2026.01.30,21:30:00,4893.23,4925.98,4881.32,4912.24,4803,4
2026.01.30,21:40:00,4912.24,4934.59,4897.29,4916.16,5462,4
2026.01.30,21:50:00,4916.16,4947.93,4916.13,4932.81,5003,4
2026.01.30,22:00:00,4932.81,4933.09,4881.94,4900.2,6029,4
2026.01.30,22:10:00,4900.16,4902.8,4879.05,4901.55,4809,4
2026.01.30,22:20:00,4901.55,4913.64,4885.13,4890.57,4685,4
2026.01.30,22:30:00,4890.57,4894.21,4843.97,4861.83,5843,4
2026.01.30,22:40:00,4861.83,4879.59,4845.68,4863.22,5485,4
2026.01.30,22:50:00,4863.25,4868.65,4809.23,4847.66,6258,4
2026.01.30,23:00:00,4847.66,4863.35,4831.49,4844.43,4015,4
2026.01.30,23:10:00,4844.43,4860.16,4835.38,4858.54,3163,4
2026.01.30,23:20:00,4858.54,4890.03,4858.54,4874.52,3698,4
2026.01.30,23:30:00,4874.52,4881.33,4850.08,4854.8,3068,4
2026.01.30,23:40:00,4854.8,4869.61,4850.06,4865,2715,4
2026.01.30,23:50:00,4865.43,4896.32,4863.27,4894.47,2947,4
